UID	BLANK	GWEIGHT	2A4SA	2A4SA(2)	2A0SB	2A0SA	2A4SB	2A10SB	2A10SB-20	1A17SA	1A17SA-12	2A0SB(2)	2C0SB	2C7SA	1A7SB	2A10SA	2C10SA
MR-5 MC-4 R-8 C-6		1	6642.93603	1287.681624	2185.947256	4307.44889	4957.742704	4537.913863	3571.377315	2026.354653	4614.162199	4294.340778	3570.225076	3532.107014	4537.116733	3222.99101	2538.712828
MR-5 MC-4 R-8 C-7		1	2995.256736	619.9555556	1198.667496	1873.271563	2007.370045	1472.185419	863.3922782	641.670257	2210.602109	2026.480831	2122.854118	651.3280885	794.7410558	743.5615614	950.8829218
MR-5 MC-4 R-8 C-8		1	1380.51214	429.6070577	1294.372336	1254.571329	1092.156968	2002.576853	1769.5892	492.4404762	1150.102208	1695.713577	1360.826169	1861.044142	1635.354187	1857.100832	2026.672608
MR-5 MC-4 R-8 C-9		1	2344.930664	422.374729	722.6401715	932.1904545	1146.635218	1146.431493	1297.598668	430.6481653	898.0896175	1094.335182	929.8711211	1374.327722	1432.149436	1064.513131	1310.375041
MR-5 MC-4 R-8 C-10		1	9394.33627	3694.578819	4071.726783	4560.336975	5972.177656	5409.165776	4122.388757	1930.417335	7383.980545	8833.623205	3489.131645	4956.598066	4987.574337	3779.321871	5784.148318
MR-5 MC-4 R-8 C-11		1	1275.479631	233.6318919	301.023075	346.5232207	487.1567093	514.8930757	518.2546296	166.3983425	375.6327642	451.9497047	404.669631	448.1078803	478.3794391	433.7307748	412.359807
MR-5 MC-4 R-8 C-12		1	6182.855378	1106.378455	1906.312433	2882.438024	2822.209035	3084.297727	2596.539003	1226.768119	2755.285323	3245.151325	2732.223012	2190.817034	2522.271819	2333.612971	2453.630797
MR-5 MC-4 R-8 C-13		1	1908.212908	124.730233	442.2927613	739.9519821	1076.223221	1016.740744	850.8859779	254.3017544	764.5867262	900.9030716	783.0378788	561.1551287	499.0249506	691.6780998	612.9694444
MR-5 MC-4 R-8 C-14		1	25909.67965	9031.009584	8677.253933	11510.21526	22007.78351	11732.79631	9176.295833	5502.632035	19941.45575	17481.01354	9088.793996	10937.01837	10306.41459	9568.318535	10088.02705
MR-5 MC-4 R-8 C-15		1	15647.28922	2288.452682	4483.237285	4358.357586	5966.777116	3911.552479	3337.641264	1521.776845	4739.256572	5881.456041	4646.578443	3651.631043	3614.558629	2450.708738	2624.597762
MR-5 MC-4 R-8 C-16		1	5507.969479	1342.062399	3145.520067	3129.677823	3893.174707	4382.407023	3597.81818	1026.321145	3007.525084	4530.02381	3138.313433	2803.404886	2477.664359	3111.419381	3030.265416
MR-5 MC-4 R-9 C-1		1	2292.84684	181.8268398	430.1764739	997.1807107	1279.670531	1156.894556	791.3888889	340.9737252	814.322059	878.8232116	1124.226949	728.6118876	818.2221095	754.8468855	719.0425084
MR-5 MC-4 R-9 C-2		1	10123.74068	1872.502688	2548.766123	6201.120571	6603.848067	6733.301771	4769.936151	2511.211699	5775.193312	6209.364481	6313.908578	3969.489594	6078.918417	4906.730435	3873.126208
MR-5 MC-4 R-9 C-3		1	2042.183616	577.7589769	814.2707892	1955.113253	1626.749437	1919.80922	2042.360924	926.4243881	1646.505629	1531.312281	1539.779268	1206.975884	2270.237204	2002.244039	1694.295348
MR-5 MC-4 R-9 C-4		1	5098.230123	416.9553107	856.7132591	2214.189601	2987.207498	3537.680254	1643.027965	463.3412879	1438.491896	2006.769116	2444.029495	1964.697107	1853.467783	1229.588047	954.6001684
